title	isrc	amount
Ballade		698.254310439089
Troller Tanz		224.7187702311349
Theusz Hamtaahk		519.4665817599545
Köhntarkösz		2011.6767792257565
Maahnt		328.4720108365315
Nüms		111.92481518837602
Malawëlëkaahm	FRP1N0000160	388.8834050870421
Kobaia is de Hundin		213.55591955296117
Se Lah Maahrï Donsaï		151.40881748585318
Félicité Thösz : Dzoï		147.3776394066396
Weïdorje		270.6902839437375
Manëh Fur Da Zëss		96.78821652622942
Mëkanïk Dëstruktïẁ Kömmandöh		1173.6663204900283
Aïna		375.85851500263857
Köhntark		976.8346098580685
Nono		377.3765373932041
Tü Lü Lï Ʌë Üi Dü Wiï		66.79937351867937
Da Zeuhl Wortz Mekanïk		385.29480506822193
Kreühn Köhrmahn Iss De Hündïn		193.46112351342458
Hhaï		521.869928563851
Hhaï		521.869928563851
Hhaï		521.869928563851
Ëk Sün Da Zëss		137.1553629105059
Köhntarkösz		1992.501170224241
Fur Dï Hël Kobaïa		295.2962135369817
Da Zeuhl Ẁortz ẁaïnsaht	FRP1N0000050	113.90846661489806
Rïah Sahïltaahk		1311.4570089376223
De Futura		1080.3556869451759
Weidorje		270.1413116497813
Nebëhr Gudahtt		459.58816238777706
Kobaïa		842.3917030618951
Wohldünt Me¨m Dëwëlëss		188.67831404338202
Köhntarkösz		2040.4293159539127
Ëmëhntëhtt-Ré IV		234.94256036792854
Manëh Fur Da Zëss		102.29038083087848
Kobaïa Is De Hündïn		213.93949124360353
Aïna		377.32541536917586
C'est La Vie Qui Les A Menés Là!		272.88495613685643
Zëss		1678.5949458239306
Kobah		385.2305965130559
Sowiloï		550.7485682980466
Thaud Zaia		426.5586590592648
Zëss		2277.723579174311
Nono		377.5958133888981
Nebëhr Gudahtt		363.52714369064637
Stoah		323.1007898983743
Ẁöhm Dëhm Zeuhl Stadium		297.31158873582706
Mëkanïk Destruktïw Kömmandöh		461.4980557229328
Soleil D’Ork		233.06290012624623
Da Zeuhl Ẁortz dëhm Ẁrëhntt		382.66613600918475
Ïma Sürï Dondaï		253.66198762754036
Aïna		375.9651124235162
I Must Return		392.0637107628797
I Must Return		392.489448616633
Sons et chorus de batterie		1511.7094416144707
Phases		3378.122276148473
Kobaia		222.0793344111621
Gamma Antéria		465.76415024664374
Troller Tanz		224.7187702311349
Theusz Hamtaahk		519.4665817599545
Köhntarkösz		2011.6767792257565
Maahnt		328.4720108365315
Nüms		111.92481518837602
Malawëlëkaahm	FRP1N0000160	388.8834050870421
Kobaia is de Hundin		213.55591955296117
Se Lah Maahrï Donsaï		151.40881748585318
Félicité Thösz : Dzoï		147.3776394066396
Weïdorje		270.6902839437375
Manëh Fur Da Zëss		96.78821652622942
Mëkanïk Dëstruktïẁ Kömmandöh		1173.6663204900283
Aïna		375.85851500263857
Köhntark		976.8346098580685
Nono		377.3765373932041
Tü Lü Lï Ʌë Üi Dü Wiï		66.79937351867937
Da Zeuhl Wortz Mekanïk		385.29480506822193
Kreühn Köhrmahn Iss De Hündïn		193.46112351342458
Hhaï		521.869928563851
Hhaï		521.869928563851
Hhaï		521.869928563851
Ëk Sün Da Zëss		137.1553629105059
Köhntarkösz		1992.501170224241
Fur Dï Hël Kobaïa		295.2962135369817
Da Zeuhl Ẁortz ẁaïnsaht	FRP1N0000050	113.90846661489806
Rïah Sahïltaahk		1311.4570089376223
De Futura		1080.3556869451759
Weidorje		270.1413116497813
